ID	EN	Example or notes
button_friendshipWithChara	Friendship with {1}	Friendship with Tammy 30 or greater
button_battle	Battle!	
button_ok	OK	
button_cancel	Cancel	
button_tooStressedOut	Too stressed out	
button_icon_flirt	Flirts with {1}	
button_icon_groundhog	From a Past Life	
button_icon_seen	Previously Seen	
button_giftTooSoon	Too soon to give another gift	
button_req_lessThan	Need {1} less than {2}	Need Rebellion less than 50
button_req_equalOrGreater	Need {1} {2} or greater	Need Empathy 50 or greater
button_eventsRespawned	All events have respawned.	
button_eventsRemaining	{1} events remaining	
button_collectiblesRemaining	{1} collectibles remaining	
button_bossRespawned	New boss event spawned	
button_bossRemaining	Boss event remaining	
button_eventsWillRespawn	Events respawn in Quiet	
button_bind	Press any button to bind it	
button_customPronouns_order1	they|she|him	Order custom gender strings with they|she|him first
button_customPronouns_order2	|her	Then their|her|his and them|her|him and theirs|hers|his (all contain "|her")
button_customPronouns_customize	Customize	
button_customPronouns_tooltip	Modify custom pronouns ({1})	Modify custom pronouns (they/them)
button_system	System	
button_friends	Friends	
button_memories	Memories	
button_skills	Character Traits	
button_music_muted	(Muted)	
button_music_noSong	(No song playing)	
button_main_continue	continue	
button_main_newLife	start your new life	
button_main_newGame	new game	
button_main_load	load	
button_ending_goWith	Go with them.	
button_ending_rollCredits	Roll the credits.	
button_on	[on]	
button_off	[off]	
button_done	done	
button_save	save	
button_load	load	
button_settings	settings	
button_credits	credits	
button_gallery	gallery	
button_main_menu	main menu	
button_tutorial	tutorial	
button_report_a_bug	report a bug	
button_content_warnings	content warnings	
button_debug_settings	debug settings	
button_debug_commands	debug commands	
button_next_song	next song	
button_gear	gear	
button_collectibles	collectibles	
button_open_savegame_folder	open savegame folder	
button_clear_past_memories	clear past memories	
button_clear_all_user_data	clear all user data	
button_delete_save	delete save	
button_general	general	
button_graphics	graphics	
button_audio	audio	
button_controls	controls	
button_debug	debug	
button_reset	reset	
button_illustrations	illustrations	
button_endings	endings	
button_backgrounds	backgrounds	
button_cards	cards	
button_cheevos	cheevos	
button_next	next	
button_previous	previous	
button_give_up	give up	
button_okay	okay	
button_start_your_new_life	start your new life	
button_endings_gallery	endings gallery	
button_quit	quit	
		
		
		
text_system	system	
text_debug_enabled	debug enabled	
text_now_playing	now playing	
text_no_skill_changes	no skill changes	
text_friends	friends	
text_goal	goal	
text_loading...	Loading...	
text_she	she	
text_he	he	
		
		
		
picker_title	Select a Collectible	
perk_newPerk	New Perk!	
perk_title	{1} - Level {2}	Combat - Level 3
deck_title_memories	Memories	
deck_subtitle_memories	{1} cards for use in challenges	20 cards for use in challenges
deck_title_gear	Gear	
deck_subtitle_gear	{1} of {2} equipped	2 of 3 equipped
deck_button_pets	Only Show Equipped Pets	
deck_title_collectibles	Collectibles	
deck_subtitle_collectibles_none	Look for items on the ground while exploring	
deck_subtitle_collectibles	{1} gifts or one-use items (duplicates stacked)	
deck_popup_gearBattle	Can't change gear during a battle	
deck_popup_gearEvent	Can't change gear during an event	
		
		
		
		
		
		
unlock_job	Unlocked {1} in {2}	Unlocked Babysitting in The Living Quarters
unlock_ultimate	Increased rewards for {1}	\+ Kudos for Babysitting
unlock_dating	Started dating {1}!	
unlock_fact	Learned: {1} - {2}	
		
none	None	
